time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1129876,1762283913.383183,ACCEL,0,0.00000,0.12000,0.06749,1129876
1129881,1762283913.486125,ACCEL,0,0.00000,0.12000,0.06749,1129881
1129886,1762283913.486146,ACCEL,1,0.00491,0.12000,0.06763,1129886
1129891,1762283913.486158,ACCEL,1,0.00491,0.12000,0.06763,1129891
1129896,1762283913.486167,ACCEL,1,0.00491,0.12000,0.06763,1129896
1129901,1762283913.486177,ACCEL,1,0.00491,0.12000,0.06763,1129901
1129906,1762283913.486186,ACCEL,1,0.00491,0.12000,0.06763,1129906
1129911,1762283913.486194,ACCEL,1,0.00491,0.12000,0.06763,1129911
1129916,1762283913.486202,ACCEL,1,0.00491,0.12000,0.06763,1129916
1129921,1762283913.486211,ACCEL,1,0.00491,0.12000,0.06763,1129921
1129926,1762283913.486220,ACCEL,2,0.00982,0.12000,0.06776,1129926
1129931,1762283913.486229,ACCEL,2,0.00982,0.12000,0.06776,1129931
1129936,1762283913.486237,ACCEL,2,0.00982,0.12000,0.06776,1129936
1129941,1762283913.486245,ACCEL,2,0.00982,0.12000,0.06776,1129941
1129946,1762283913.486252,ACCEL,2,0.00982,0.12000,0.06776,1129946
1129951,1762283913.486260,ACCEL,2,0.00982,0.12000,0.06776,1129951
1129956,1762283913.486267,ACCEL,2,0.00982,0.12000,0.06776,1129956
1129961,1762283913.486275,ACCEL,2,0.00982,0.12000,0.06776,1129961
1129966,1762283913.486283,ACCEL,3,0.01473,0.12000,0.06790,1129966
1129971,1762283913.486290,ACCEL,3,0.01473,0.12000,0.06790,1129971
1129976,1762283913.486297,ACCEL,3,0.01473,0.12000,0.06790,1129976
1129981,1762283913.486304,ACCEL,3,0.01473,0.12000,0.06790,1129981
1129986,1762283913.486312,ACCEL,3,0.01473,0.12000,0.06790,1129986
1129991,1762283913.486327,ACCEL,3,0.01473,0.12000,0.06790,1129991
1129996,1762283913.486334,ACCEL,3,0.01473,0.12000,0.06790,1129996
1130001,1762283913.486342,ACCEL,3,0.01473,0.12000,0.06790,1130001
1130006,1762283913.486349,ACCEL,4,0.01963,0.12000,0.06803,1130006
1130011,1762283913.486356,ACCEL,4,0.01963,0.12000,0.06803,1130011
1130016,1762283913.486364,ACCEL,4,0.01963,0.12000,0.06803,1130016
1130021,1762283913.486371,ACCEL,4,0.01963,0.12000,0.06803,1130021
1130026,1762283913.486379,ACCEL,4,0.01963,0.12000,0.06803,1130026
1130031,1762283913.486387,ACCEL,4,0.01963,0.12000,0.06803,1130031
1130036,1762283913.486394,ACCEL,4,0.01963,0.12000,0.06803,1130036
1130041,1762283913.486403,ACCEL,4,0.01963,0.12000,0.06803,1130041
1130046,1762283913.486410,ACCEL,4,0.01963,0.12000,0.06803,1130046
1130051,1762283913.486418,ACCEL,5,0.02454,0.12000,0.06817,1130051
1130056,1762283913.486425,ACCEL,5,0.02454,0.12000,0.06817,1130056
1130061,1762283913.486432,ACCEL,5,0.02454,0.12000,0.06817,1130061
1130066,1762283913.486439,ACCEL,5,0.02454,0.12000,0.06817,1130066
1130071,1762283913.486446,ACCEL,5,0.02454,0.12000,0.06817,1130071
1130076,1762283913.486453,ACCEL,5,0.02454,0.12000,0.06817,1130076
1130081,1762283913.486461,ACCEL,5,0.02454,0.12000,0.06817,1130081
1130086,1762283913.486468,ACCEL,5,0.02454,0.12000,0.06817,1130086
1130091,1762283913.486475,ACCEL,6,0.02945,0.12000,0.06831,1130091
1130096,1762283913.486482,ACCEL,6,0.02945,0.12000,0.06831,1130096
1130101,1762283913.486943,ACCEL,6,0.02945,0.12000,0.06831,1130101
1130106,1762283913.486953,ACCEL,6,0.02945,0.12000,0.06831,1130106
1130111,1762283913.486963,ACCEL,6,0.02945,0.12000,0.06831,1130111
1130116,1762283913.486971,ACCEL,6,0.02945,0.12000,0.06831,1130116
1130121,1762283913.486978,ACCEL,6,0.02945,0.12000,0.06831,1130121
1130251,1762283913.765787,ACCEL,9,0.04418,0.12000,0.06872,1130251
1130256,1762283913.765813,ACCEL,10,0.04909,0.12000,0.06885,1130256
1130261,1762283913.765824,ACCEL,10,0.04909,0.12000,0.06885,1130261
1130266,1762283913.765834,ACCEL,10,0.04909,0.12000,0.06885,1130266
1130271,1762283913.765842,ACCEL,10,0.04909,0.12000,0.06885,1130271
1130276,1762283913.765850,ACCEL,10,0.04909,0.12000,0.06885,1130276
1130281,1762283913.765858,ACCEL,10,0.04909,0.12000,0.06885,1130281
1130286,1762283913.765866,ACCEL,10,0.04909,0.12000,0.06885,1130286
1130291,1762283913.765874,ACCEL,10,0.04909,0.12000,0.06885,1130291
1130296,1762283913.765882,ACCEL,11,0.05400,0.12000,0.06899,1130296
1130301,1762283913.766105,ACCEL,11,0.05400,0.12000,0.06899,1130301
1130306,1762283913.766125,ACCEL,11,0.05400,0.12000,0.06899,1130306
1130311,1762283913.766136,ACCEL,11,0.05400,0.12000,0.06899,1130311
1130316,1762283913.766145,ACCEL,11,0.05400,0.12000,0.06899,1130316
1130321,1762283913.766153,ACCEL,11,0.05400,0.12000,0.06899,1130321
1130326,1762283913.766162,ACCEL,11,0.05400,0.12000,0.06899,1130326
1130331,1762283913.766168,ACCEL,11,0.05400,0.12000,0.06899,1130331
1130336,1762283913.766175,ACCEL,12,0.05890,0.12000,0.06912,1130336
1130341,1762283913.766183,ACCEL,12,0.05890,0.12000,0.06912,1130341
1130346,1762283913.766191,ACCEL,12,0.05890,0.12000,0.06912,1130346
1130351,1762283913.766199,ACCEL,12,0.05890,0.12000,0.06912,1130351
1130356,1762283913.766207,ACCEL,12,0.05890,0.12000,0.06912,1130356
1130361,1762283913.766215,ACCEL,12,0.05890,0.12000,0.06912,1130361
1130366,1762283913.766224,ACCEL,12,0.05890,0.12000,0.06912,1130366
1130371,1762283913.766232,ACCEL,12,0.05890,0.12000,0.06912,1130371
1130376,1762283913.766240,ACCEL,13,0.06381,0.12000,0.06926,1130376
1130381,1762283913.766248,ACCEL,13,0.06381,0.12000,0.06926,1130381
1130386,1762283913.766258,ACCEL,13,0.06381,0.12000,0.06926,1130386
1130391,1762283913.766266,ACCEL,13,0.06381,0.12000,0.06926,1130391
1130396,1762283913.766274,ACCEL,13,0.06381,0.12000,0.06926,1130396
1130401,1762283913.766282,ACCEL,13,0.06381,0.12000,0.06926,1130401
1130406,1762283913.766289,ACCEL,13,0.06381,0.12000,0.06926,1130406
1130411,1762283913.766296,ACCEL,13,0.06381,0.12000,0.06926,1130411
1130416,1762283913.766303,ACCEL,14,0.06872,0.12000,0.06940,1130416
1130421,1762283913.767743,ACCEL,14,0.06872,0.12000,0.06940,1130421
1130426,1762283913.767761,ACCEL,14,0.06872,0.12000,0.06940,1130426
1130431,1762283913.767772,ACCEL,14,0.06872,0.12000,0.06940,1130431
1130436,1762283913.767781,ACCEL,14,0.06872,0.12000,0.06940,1130436
1130441,1762283913.767789,ACCEL,14,0.06872,0.12000,0.06940,1130441
1130446,1762283913.767801,ACCEL,14,0.06872,0.12000,0.06940,1130446
1130451,1762283913.767810,ACCEL,14,0.06872,0.12000,0.06940,1130451
1130456,1762283913.767819,ACCEL,15,0.07363,0.12000,0.06953,1130456
1130461,1762283913.767827,ACCEL,15,0.07363,0.12000,0.06953,1130461
1130466,1762283913.767838,ACCEL,15,0.07363,0.12000,0.06953,1130466
1130471,1762283913.767846,ACCEL,15,0.07363,0.12000,0.06953,1130471
1130476,1762283913.767853,ACCEL,15,0.07363,0.12000,0.06953,1130476
1130481,1762283913.767861,ACCEL,15,0.07363,0.12000,0.06953,1130481
1130486,1762283913.767868,ACCEL,15,0.07363,0.12000,0.06953,1130486
1130491,1762283913.767875,ACCEL,15,0.07363,0.12000,0.06953,1130491
1130496,1762283913.767883,ACCEL,15,0.07363,0.12000,0.06953,1130496
1130526,1762283914.027769,ACCEL,16,0.07854,0.12000,0.06967,1130526
1130531,1762283914.027797,ACCEL,16,0.07854,0.12000,0.06967,1130531
1130536,1762283914.027806,ACCEL,16,0.07854,0.12000,0.06967,1130536
1130541,1762283914.027814,ACCEL,17,0.08345,0.12000,0.06980,1130541
1130546,1762283914.027821,ACCEL,17,0.08345,0.12000,0.06980,1130546
1130551,1762283914.027828,ACCEL,17,0.08345,0.12000,0.06980,1130551
1130556,1762283914.027834,ACCEL,17,0.08345,0.12000,0.06980,1130556
1130561,1762283914.027841,ACCEL,17,0.08345,0.12000,0.06980,1130561
1130566,1762283914.027847,ACCEL,17,0.08345,0.12000,0.06980,1130566
1130571,1762283914.027858,ACCEL,17,0.08345,0.12000,0.06980,1130571
1130576,1762283914.027864,ACCEL,17,0.08345,0.12000,0.06980,1130576
1130581,1762283914.027870,ACCEL,18,0.08836,0.12000,0.06994,1130581
1130586,1762283914.027876,ACCEL,18,0.08836,0.12000,0.06994,1130586
1130591,1762283914.027883,ACCEL,18,0.08836,0.12000,0.06994,1130591
1130596,1762283914.027889,ACCEL,18,0.08836,0.12000,0.06994,1130596
1130601,1762283914.027894,ACCEL,18,0.08836,0.12000,0.06994,1130601
1130606,1762283914.027901,ACCEL,18,0.08836,0.12000,0.06994,1130606
1130611,1762283914.027907,ACCEL,18,0.08836,0.12000,0.06994,1130611
1130616,1762283914.027912,ACCEL,18,0.08836,0.12000,0.06994,1130616
1130621,1762283914.027918,ACCEL,19,0.09327,0.12000,0.07008,1130621
1130626,1762283914.027925,ACCEL,19,0.09327,0.12000,0.07008,1130626
1130631,1762283914.027932,ACCEL,19,0.09327,0.12000,0.07008,1130631
1130636,1762283914.027938,ACCEL,19,0.09327,0.12000,0.07008,1130636
1130641,1762283914.027944,ACCEL,19,0.09327,0.12000,0.07008,1130641
1130646,1762283914.027950,ACCEL,19,0.09327,0.12000,0.07008,1130646
1130651,1762283914.027955,ACCEL,19,0.09327,0.12000,0.07008,1130651
1130656,1762283914.027961,ACCEL,19,0.09327,0.12000,0.07008,1130656
1130661,1762283914.027967,ACCEL,20,0.09817,0.12000,0.07021,1130661
1130666,1762283914.027972,ACCEL,20,0.09817,0.12000,0.07021,1130666
1130671,1762283914.027980,ACCEL,20,0.09817,0.12000,0.07021,1130671
1130676,1762283914.027985,ACCEL,20,0.09817,0.12000,0.07021,1130676
1130681,1762283914.027999,ACCEL,20,0.09817,0.12000,0.07021,1130681
1130686,1762283914.028005,ACCEL,20,0.09817,0.12000,0.07021,1130686
