time_ms,time_ts,v4,v5,g4,g5
1129893,1762283914.821866,2.501486,2.552042,0.000743,0.026021
1129893,1762283914.821934,2.500846,2.551722,0.000423,0.025861
1129893,1762283914.821947,2.501486,2.553002,0.000743,0.026501
1129893,1762283914.821955,2.501806,2.548842,0.000903,0.024421
1129893,1762283914.821963,2.501486,2.551722,0.000743,0.025861
1129893,1762283914.821970,2.502126,2.547243,0.001063,0.023621
1129893,1762283914.821976,2.502766,2.551402,0.001383,0.025701
1129893,1762283914.821983,2.502126,2.547243,0.001063,0.023621
1129893,1762283914.821989,2.502126,2.552362,0.001063,0.026181
1129896,1762283914.825055,2.500846,2.543083,0.000423,0.021541
1129908,1762283914.836903,2.502126,2.546603,0.001063,0.023301
1129908,1762283914.836925,2.501166,2.544683,0.000583,0.022341
1129909,1762283914.838037,2.501806,2.547243,0.000903,0.023621
1129909,1762283914.838082,2.502126,2.548842,0.001063,0.024421
1129909,1762283914.838117,2.501806,2.545323,0.000903,0.022661
1129909,1762283914.838130,2.502126,2.545323,0.001063,0.022661
1129909,1762283914.838137,2.502446,2.546923,0.001223,0.023461
1129909,1762283914.838145,2.501486,2.546283,0.000743,0.023141
1129909,1762283914.838152,2.502446,2.546923,0.001223,0.023461
1129909,1762283914.838182,2.502766,2.548842,0.001383,0.024421
1129925,1762283914.854031,2.502126,2.546923,0.001063,0.023461
1129925,1762283914.854586,2.502446,2.543083,0.001223,0.021541
1129925,1762283914.854594,2.502126,2.545643,0.001063,0.022821
1129925,1762283914.854600,2.502446,2.544363,0.001223,0.022181
1129925,1762283914.854606,2.502446,2.547883,0.001223,0.023941
1129925,1762283914.854611,2.502126,2.546923,0.001063,0.023461
1129925,1762283914.854617,2.503086,2.547563,0.001543,0.023781
1129925,1762283914.854622,2.501806,2.543403,0.000903,0.021701
1129925,1762283914.854628,2.502126,2.545643,0.001063,0.022821
1129925,1762283914.854633,2.502446,2.546923,0.001223,0.023461
1129926,1762283914.854895,2.502126,2.545003,0.001063,0.022501
1129926,1762283914.854924,2.503406,2.543083,0.001703,0.021541
1129926,1762283914.854931,2.502446,2.543403,0.001223,0.021701
1129926,1762283914.854937,2.502446,2.544043,0.001223,0.022021
1129926,1762283914.854943,2.502766,2.542763,0.001383,0.021381
1129926,1762283914.855315,2.502766,2.543403,0.001383,0.021701
1129926,1762283914.855357,2.502766,2.545643,0.001383,0.022821
1129926,1762283914.855374,2.502446,2.542763,0.001223,0.021381
1129926,1762283914.855388,2.501806,2.542763,0.000903,0.021381
1129926,1762283914.855402,2.503086,2.541163,0.001543,0.020582
1129940,1762283914.869111,2.502126,2.542123,0.001063,0.021061
1129940,1762283914.869174,2.501806,2.542763,0.000903,0.021381
1129940,1762283914.869264,2.503086,2.540843,0.001543,0.020422
1129941,1762283914.869659,2.502446,2.541483,0.001223,0.020742
1129941,1762283914.869685,2.502446,2.541483,0.001223,0.020742
1129941,1762283914.869700,2.502766,2.541803,0.001383,0.020902
1129941,1762283914.870097,2.502446,2.539243,0.001223,0.019622
1129941,1762283914.870135,2.502766,2.539243,0.001383,0.019622
1129942,1762283914.871188,2.502766,2.539563,0.001383,0.019782
1129942,1762283914.871202,2.502126,2.539243,0.001063,0.019622
1129955,1762283914.883963,2.503086,2.539243,0.001543,0.019622
1129955,1762283914.884000,2.503086,2.537963,0.001543,0.018982
1129955,1762283914.884004,2.502126,2.537323,0.001063,0.018662
1129955,1762283914.884009,2.502446,2.537963,0.001223,0.018982
1129955,1762283914.884013,2.502766,2.537643,0.001383,0.018822
1129955,1762283914.884016,2.502766,2.537003,0.001383,0.018502
1129955,1762283914.884020,2.503086,2.536363,0.001543,0.018182
1129955,1762283914.884024,2.502766,2.536363,0.001383,0.018182
1129955,1762283914.884027,2.502126,2.535403,0.001063,0.017702
1129955,1762283914.884031,2.503086,2.534444,0.001543,0.017222
1129955,1762283914.884151,2.503086,2.534764,0.001543,0.017382
1129955,1762283914.884158,2.503406,2.536043,0.001703,0.018022
1129955,1762283914.884162,2.503406,2.534444,0.001703,0.017222
1129955,1762283914.884165,2.502766,2.535403,0.001383,0.017702
1129955,1762283914.884169,2.504046,2.534124,0.002023,0.017062
1129955,1762283914.884174,2.502766,2.535083,0.001383,0.017542
1129955,1762283914.884224,2.502126,2.534764,0.001063,0.017382
1129955,1762283914.884235,2.502446,2.534764,0.001223,0.017382
1129955,1762283914.884239,2.501806,2.534444,0.000903,0.017222
1129955,1762283914.884269,2.503726,2.534444,0.001863,0.017222
1129970,1762283914.899237,2.502766,2.534444,0.001383,0.017222
1129970,1762283914.899293,2.502126,2.534444,0.001063,0.017222
1129971,1762283914.900406,2.502126,2.535403,0.001063,0.017702
1129971,1762283914.900484,2.502446,2.535403,0.001223,0.017702
1129971,1762283914.900513,2.503086,2.534444,0.001543,0.017222
1129972,1762283914.900931,2.501486,2.534764,0.000743,0.017382
1129972,1762283914.900951,2.502126,2.534764,0.001063,0.017382
1129975,1762283914.903889,2.502126,2.535723,0.001063,0.017862
1129975,1762283914.903906,2.502446,2.536043,0.001223,0.018022
1129975,1762283914.903911,2.502126,2.536043,0.001063,0.018022
1129988,1762283914.916746,2.502766,2.537323,0.001383,0.018662
1129988,1762283914.916797,2.502446,2.535723,0.001223,0.017862
1129988,1762283914.916805,2.502766,2.537643,0.001383,0.018822
