time_ms,time_ts,v4,v5,g4,g5
1714316,1762295625.289568,2.496046,2.508845,-0.001977,0.004423
1714316,1762295625.289632,2.496366,2.508525,-0.001817,0.004263
1714316,1762295625.289644,2.496366,2.509165,-0.001817,0.004583
1714316,1762295625.289652,2.495726,2.507246,-0.002137,0.003623
1714316,1762295625.289660,2.495726,2.508525,-0.002137,0.004263
1714316,1762295625.289668,2.495726,2.508205,-0.002137,0.004103
1714316,1762295625.289675,2.496366,2.507885,-0.001817,0.003943
1714316,1762295625.289682,2.496046,2.507246,-0.001977,0.003623
1714316,1762295625.289689,2.496686,2.506926,-0.001657,0.003463
1714319,1762295625.292862,2.496046,2.507565,-0.001977,0.003783
1714333,1762295625.306681,2.496046,2.506926,-0.001977,0.003463
1714333,1762295625.306712,2.496366,2.505326,-0.001817,0.002663
1714333,1762295625.306719,2.497006,2.506926,-0.001497,0.003463
1714333,1762295625.306737,2.496686,2.505966,-0.001657,0.002983
1714333,1762295625.306742,2.497006,2.505646,-0.001497,0.002823
1714333,1762295625.306747,2.497966,2.505646,-0.001017,0.002823
1714333,1762295625.306752,2.497646,2.505646,-0.001177,0.002823
1714333,1762295625.306762,2.497646,2.505006,-0.001177,0.002503
1714333,1762295625.306766,2.498286,2.504686,-0.000857,0.002343
1714333,1762295625.306770,2.498926,2.504686,-0.000537,0.002343
1714348,1762295625.322283,2.498926,2.504046,-0.000537,0.002023
1714349,1762295625.322792,2.499566,2.504366,-0.000217,0.002183
1714349,1762295625.322830,2.498606,2.505006,-0.000697,0.002503
1714349,1762295625.322857,2.499246,2.504366,-0.000377,0.002183
1714349,1762295625.322874,2.500526,2.504686,0.000263,0.002343
1714349,1762295625.322898,2.499886,2.505326,-0.000057,0.002663
1714349,1762295625.322941,2.499886,2.504046,-0.000057,0.002023
1714349,1762295625.322979,2.500526,2.504046,0.000263,0.002023
1714349,1762295625.323005,2.500526,2.504366,0.000263,0.002183
1714349,1762295625.323031,2.500206,2.505006,0.000103,0.002503
1714350,1762295625.323669,2.500206,2.504046,0.000103,0.002023
1714350,1762295625.323684,2.500526,2.504366,0.000263,0.002183
1714350,1762295625.323718,2.501806,2.505326,0.000903,0.002663
1714350,1762295625.323742,2.501486,2.505326,0.000743,0.002663
1714350,1762295625.323748,2.500846,2.505326,0.000423,0.002663
1714350,1762295625.323755,2.500206,2.505006,0.000103,0.002503
1714350,1762295625.323760,2.501166,2.505646,0.000583,0.002823
1714350,1762295625.323765,2.501486,2.505966,0.000743,0.002983
1714350,1762295625.323771,2.500206,2.505646,0.000103,0.002823
1714350,1762295625.323776,2.501486,2.505006,0.000743,0.002503
1714363,1762295625.336518,2.502126,2.505326,0.001063,0.002663
1714363,1762295625.336802,2.501806,2.506606,0.000903,0.003303
1714363,1762295625.336822,2.500846,2.505966,0.000423,0.002983
1714363,1762295625.336827,2.500846,2.505966,0.000423,0.002983
1714363,1762295625.336832,2.502126,2.506606,0.001063,0.003303
1714363,1762295625.336837,2.501486,2.507246,0.000743,0.003623
1714363,1762295625.336843,2.501166,2.506286,0.000583,0.003143
1714363,1762295625.336891,2.502446,2.507246,0.001223,0.003623
1714363,1762295625.336923,2.501166,2.506926,0.000583,0.003463
1714363,1762295625.336937,2.501806,2.507246,0.000903,0.003623
1714378,1762295625.352082,2.501806,2.505966,0.000903,0.002983
1714378,1762295625.352117,2.502126,2.506286,0.001063,0.003143
1714378,1762295625.352123,2.501486,2.506606,0.000743,0.003303
1714378,1762295625.352128,2.502126,2.506606,0.001063,0.003303
1714378,1762295625.352133,2.502126,2.506286,0.001063,0.003143
1714378,1762295625.352136,2.502446,2.507565,0.001223,0.003783
1714378,1762295625.352140,2.501486,2.507885,0.000743,0.003943
1714378,1762295625.352144,2.501806,2.506926,0.000903,0.003463
1714378,1762295625.352147,2.500846,2.507246,0.000423,0.003623
1714378,1762295625.352151,2.502126,2.506606,0.001063,0.003303
1714395,1762295625.369134,2.501806,2.508205,0.000903,0.004103
1714395,1762295625.369187,2.501166,2.507885,0.000583,0.003943
1714395,1762295625.369195,2.501486,2.507565,0.000743,0.003783
1714395,1762295625.369237,2.500846,2.507565,0.000423,0.003783
1714395,1762295625.369259,2.501166,2.507885,0.000583,0.003943
1714395,1762295625.369267,2.499886,2.508525,-0.000057,0.004263
1714400,1762295625.373822,2.501166,2.507565,0.000583,0.003783
1714400,1762295625.373869,2.500206,2.508845,0.000103,0.004423
1714400,1762295625.373905,2.497966,2.509485,-0.001017,0.004743
1714400,1762295625.373924,2.498926,2.508845,-0.000537,0.004423
1714401,1762295625.374832,2.498606,2.510125,-0.000697,0.005063
1714401,1762295625.375129,2.497646,2.510445,-0.001177,0.005223
1714401,1762295625.375137,2.497646,2.509485,-0.001177,0.004743
1714401,1762295625.375160,2.497966,2.510445,-0.001017,0.005223
1714401,1762295625.375204,2.497006,2.510765,-0.001497,0.005383
1714401,1762295625.375221,2.496686,2.510765,-0.001657,0.005383
1714402,1762295625.376276,2.496686,2.511085,-0.001657,0.005543
1714403,1762295625.376293,2.496686,2.511085,-0.001657,0.005543
1714403,1762295625.376334,2.495406,2.513005,-0.002297,0.006503
1714403,1762295625.376350,2.495726,2.511725,-0.002137,0.005863
1714413,1762295625.386445,2.495406,2.511725,-0.002297,0.005863
1714413,1762295625.386970,2.495086,2.512365,-0.002457,0.006183
1714413,1762295625.386982,2.494446,2.512365,-0.002777,0.006183
1714413,1762295625.386990,2.495406,2.512685,-0.002297,0.006343
1714413,1762295625.386999,2.494446,2.513645,-0.002777,0.006823
1714413,1762295625.387007,2.493487,2.513005,-0.003257,0.006503
1714413,1762295625.387025,2.494126,2.511725,-0.002937,0.005863
1714413,1762295625.387055,2.494766,2.514285,-0.002617,0.007142
1714413,1762295625.387085,2.493487,2.513325,-0.003257,0.006663
1714413,1762295625.387092,2.493167,2.513965,-0.003417,0.006983
1714414,1762295625.387536,2.494126,2.513645,-0.002937,0.006823
1714414,1762295625.387547,2.492847,2.513645,-0.003577,0.006823
1714414,1762295625.387552,2.492847,2.513645,-0.003577,0.006823
1714414,1762295625.387559,2.493806,2.513965,-0.003097,0.006983
1714414,1762295625.387572,2.493487,2.513325,-0.003257,0.006663
1714414,1762295625.387621,2.493167,2.514605,-0.003417,0.007302
1714414,1762295625.387650,2.494126,2.514285,-0.002937,0.007142
1714414,1762295625.387683,2.492847,2.515245,-0.003577,0.007622
1714414,1762295625.387705,2.493167,2.515245,-0.003417,0.007622
1714414,1762295625.387780,2.493167,2.515885,-0.003417,0.007942
1714426,1762295625.400144,2.492847,2.516845,-0.003577,0.008422
1714426,1762295625.400181,2.492527,2.516845,-0.003737,0.008422
1714426,1762295625.400196,2.492847,2.514925,-0.003577,0.007462
1714426,1762295625.400249,2.493487,2.517805,-0.003257,0.008902
1714426,1762295625.400263,2.493167,2.514605,-0.003417,0.007302
1714426,1762295625.400279,2.492527,2.519085,-0.003737,0.009542
1714427,1762295625.400333,2.492207,2.521964,-0.003897,0.010982
1714427,1762295625.400346,2.491567,2.520685,-0.004217,0.010342
1714427,1762295625.400357,2.493167,2.519405,-0.003417,0.009702
1714427,1762295625.400387,2.492207,2.523564,-0.003897,0.011782
1714442,1762295625.416092,2.491887,2.521964,-0.004057,0.010982
1714442,1762295625.416116,2.493167,2.523884,-0.003417,0.011942
1714442,1762295625.416122,2.491887,2.531884,-0.004057,0.015942
1714442,1762295625.416127,2.491887,2.517485,-0.004057,0.008742
1714442,1762295625.416131,2.492527,2.531884,-0.003737,0.015942
1714442,1762295625.416136,2.493167,2.531564,-0.003417,0.015782
1714442,1762295625.416140,2.492847,2.526444,-0.003577,0.013222
1714442,1762295625.416144,2.492527,2.526444,-0.003737,0.013222
1714442,1762295625.416148,2.493487,2.523244,-0.003257,0.011622
1714442,1762295625.416152,2.494766,2.534764,-0.002617,0.017382
1714459,1762295625.433192,2.493487,2.523884,-0.003257,0.011942
1714459,1762295625.433238,2.494446,2.523564,-0.002777,0.011782
1714460,1762295625.433311,2.494446,2.530284,-0.002777,0.015142
1714461,1762295625.434739,2.494766,2.530284,-0.002617,0.015142
1714463,1762295625.436454,2.495406,2.535083,-0.002297,0.017542
1714463,1762295625.436966,2.495406,2.524524,-0.002297,0.012262
1714463,1762295625.437009,2.495086,2.541803,-0.002457,0.020902
1714464,1762295625.437310,2.495086,2.532524,-0.002457,0.016262
1714464,1762295625.437347,2.496366,2.548842,-0.001817,0.024421
1714464,1762295625.437367,2.496046,2.548203,-0.001977,0.024101
1714464,1762295625.438062,2.496686,2.529964,-0.001657,0.014982
1714465,1762295625.438380,2.496686,2.527084,-0.001657,0.013542
1714465,1762295625.438399,2.497006,2.543083,-0.001497,0.021541
1714465,1762295625.438405,2.497646,2.537643,-0.001177,0.018822
1714465,1762295625.438411,2.497326,2.542763,-0.001337,0.021381
1714465,1762295625.438443,2.497006,2.547243,-0.001497,0.023621
1714465,1762295625.438460,2.497966,2.546923,-0.001017,0.023461
1714465,1762295625.438466,2.498606,2.541163,-0.000697,0.020582
1714465,1762295625.438472,2.499566,2.547243,-0.000217,0.023621
1714465,1762295625.438495,2.497966,2.542123,-0.001017,0.021061
1714475,1762295625.448669,2.497326,2.561642,-0.001337,0.030821
1714478,1762295625.451313,2.498606,2.566121,-0.000697,0.033061
1714478,1762295625.451374,2.498606,2.555562,-0.000697,0.027781
1714478,1762295625.451382,2.498926,2.555562,-0.000537,0.027781
1714478,1762295625.451387,2.497966,2.557162,-0.001017,0.028581
1714478,1762295625.451392,2.498606,2.552682,-0.000697,0.026341
1714478,1762295625.451398,2.498286,2.556522,-0.000857,0.028261
1714478,1762295625.451403,2.498606,2.549802,-0.000697,0.024901
1714478,1762295625.451408,2.498606,2.556842,-0.000697,0.028421
1714478,1762295625.451418,2.497966,2.557802,-0.001017,0.028901
1714478,1762295625.451845,2.497966,2.558122,-0.001017,0.029061
1714478,1762295625.451859,2.498926,2.557802,-0.000537,0.028901
1714478,1762295625.451866,2.498926,2.560042,-0.000537,0.030021
1714478,1762295625.451870,2.498606,2.563561,-0.000697,0.031781
1714478,1762295625.451875,2.498286,2.561962,-0.000857,0.030981
1714478,1762295625.451962,2.497966,2.563241,-0.001017,0.031621
1714478,1762295625.452135,2.498286,2.563881,-0.000857,0.031941
1714478,1762295625.452233,2.497646,2.562921,-0.001177,0.031461
1714479,1762295625.452659,2.497966,2.563561,-0.001017,0.031781
1714479,1762295625.452669,2.497966,2.565801,-0.001017,0.032901
1714479,1762295625.452900,2.498926,2.563561,-0.000537,0.031781
1714479,1762295625.453202,2.498926,2.564521,-0.000537,0.032261
1714479,1762295625.453209,2.498286,2.565481,-0.000857,0.032741
1714479,1762295625.453223,2.499246,2.563881,-0.000377,0.031941
1714479,1762295625.453230,2.499886,2.559722,-0.000057,0.029861
1714479,1762295625.453234,2.499566,2.570601,-0.000217,0.035300
1714479,1762295625.453240,2.498606,2.569321,-0.000697,0.034661
1714479,1762295625.453245,2.499886,2.566121,-0.000057,0.033061
1714479,1762295625.453259,2.499886,2.570601,-0.000057,0.035300
1714479,1762295625.453265,2.499246,2.567081,-0.000377,0.033541
1714490,1762295625.464186,2.499886,2.577640,-0.000057,0.038820
1714490,1762295625.464221,2.499566,2.573481,-0.000217,0.036740
1714490,1762295625.464231,2.500526,2.581160,0.000263,0.040580
1714490,1762295625.464240,2.499566,2.561962,-0.000217,0.030981
1714490,1762295625.464245,2.499566,2.568041,-0.000217,0.034021
1714490,1762295625.464250,2.500846,2.561642,0.000423,0.030821
1714490,1762295625.464256,2.500526,2.577000,0.000263,0.038500
1714490,1762295625.464261,2.499886,2.572521,-0.000057,0.036260
1714490,1762295625.464266,2.500846,2.573481,0.000423,0.036740
1714490,1762295625.464271,2.501166,2.573481,0.000583,0.036740
1714506,1762295625.480042,2.501166,2.569641,0.000583,0.034820
1714506,1762295625.480074,2.502126,2.573801,0.001063,0.036900
1714506,1762295625.480080,2.500206,2.573161,0.000103,0.036580
1714506,1762295625.480084,2.501166,2.574761,0.000583,0.037380
1714506,1762295625.480088,2.501806,2.571881,0.000903,0.035940
1714506,1762295625.480092,2.501486,2.575721,0.000743,0.037860
1714506,1762295625.480096,2.500526,2.571881,0.000263,0.035940
1714506,1762295625.480099,2.502126,2.571241,0.001063,0.035620
1714506,1762295625.480103,2.501806,2.571241,0.000903,0.035620
1714506,1762295625.480106,2.502446,2.566761,0.001223,0.033381
1714522,1762295625.496060,2.502446,2.569641,0.001223,0.034820
1714522,1762295625.496095,2.503086,2.571881,0.001543,0.035940
1714522,1762295625.496099,2.502446,2.569001,0.001223,0.034501
1714522,1762295625.496104,2.503086,2.568041,0.001543,0.034021
1714522,1762295625.496108,2.504046,2.562282,0.002023,0.031141
1714522,1762295625.496111,2.504366,2.570601,0.002183,0.035300
1714522,1762295625.496118,2.504366,2.569321,0.002183,0.034661
1714522,1762295625.496123,2.504366,2.566761,0.002183,0.033381
1714522,1762295625.496127,2.504046,2.566121,0.002023,0.033061
1714522,1762295625.496141,2.504366,2.566761,0.002183,0.033381
1714538,1762295625.512245,2.504686,2.566121,0.002343,0.033061
1714539,1762295625.512352,2.505326,2.567081,0.002663,0.033541
1714539,1762295625.512364,2.505646,2.561962,0.002823,0.030981
1714539,1762295625.512373,2.505966,2.564841,0.002983,0.032421
1714539,1762295625.512381,2.506606,2.563561,0.003303,0.031781
1714539,1762295625.512389,2.506286,2.563881,0.003143,0.031941
1714539,1762295625.512396,2.505966,2.561642,0.002983,0.030821
1714539,1762295625.512405,2.506606,2.562601,0.003303,0.031301
1714539,1762295625.512414,2.505966,2.561002,0.002983,0.030501
1714539,1762295625.512438,2.506606,2.560042,0.003303,0.030021
1714539,1762295625.513157,2.507565,2.559402,0.003783,0.029701
1714539,1762295625.513171,2.506286,2.560042,0.003143,0.030021
