time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1611339,1762295521.945215,ACCEL,0,0.00000,0.12000,0.06749,1611339
1611344,1762295522.045918,ACCEL,0,0.00000,0.12000,0.06749,1611344
1611349,1762295522.045942,ACCEL,1,0.00491,0.12000,0.06763,1611349
1611354,1762295522.045955,ACCEL,1,0.00491,0.12000,0.06763,1611354
1611359,1762295522.045965,ACCEL,1,0.00491,0.12000,0.06763,1611359
1611364,1762295522.045974,ACCEL,1,0.00491,0.12000,0.06763,1611364
1611369,1762295522.045982,ACCEL,1,0.00491,0.12000,0.06763,1611369
1611374,1762295522.045990,ACCEL,1,0.00491,0.12000,0.06763,1611374
1611379,1762295522.045998,ACCEL,1,0.00491,0.12000,0.06763,1611379
1611384,1762295522.046006,ACCEL,1,0.00491,0.12000,0.06763,1611384
1611389,1762295522.046014,ACCEL,2,0.00982,0.12000,0.06776,1611389
1611394,1762295522.046021,ACCEL,2,0.00982,0.12000,0.06776,1611394
1611399,1762295522.046029,ACCEL,2,0.00982,0.12000,0.06776,1611399
1611404,1762295522.046037,ACCEL,2,0.00982,0.12000,0.06776,1611404
1611409,1762295522.046045,ACCEL,2,0.00982,0.12000,0.06776,1611409
1611414,1762295522.046052,ACCEL,2,0.00982,0.12000,0.06776,1611414
1611419,1762295522.046060,ACCEL,2,0.00982,0.12000,0.06776,1611419
1611424,1762295522.046068,ACCEL,2,0.00982,0.12000,0.06776,1611424
1611429,1762295522.046075,ACCEL,3,0.01473,0.12000,0.06790,1611429
1611434,1762295522.046083,ACCEL,3,0.01473,0.12000,0.06790,1611434
1611439,1762295522.046090,ACCEL,3,0.01473,0.12000,0.06790,1611439
1611444,1762295522.046098,ACCEL,3,0.01473,0.12000,0.06790,1611444
1611449,1762295522.046114,ACCEL,3,0.01473,0.12000,0.06790,1611449
1611454,1762295522.046121,ACCEL,3,0.01473,0.12000,0.06790,1611454
1611459,1762295522.046129,ACCEL,3,0.01473,0.12000,0.06790,1611459
1611464,1762295522.046137,ACCEL,3,0.01473,0.12000,0.06790,1611464
1611469,1762295522.046144,ACCEL,4,0.01963,0.12000,0.06803,1611469
1611474,1762295522.046152,ACCEL,4,0.01963,0.12000,0.06803,1611474
1611479,1762295522.046160,ACCEL,4,0.01963,0.12000,0.06803,1611479
1611484,1762295522.046167,ACCEL,4,0.01963,0.12000,0.06803,1611484
1611489,1762295522.046174,ACCEL,4,0.01963,0.12000,0.06803,1611489
1611494,1762295522.046181,ACCEL,4,0.01963,0.12000,0.06803,1611494
1611499,1762295522.046189,ACCEL,4,0.01963,0.12000,0.06803,1611499
1611504,1762295522.046202,ACCEL,4,0.01963,0.12000,0.06803,1611504
1611509,1762295522.046209,ACCEL,4,0.01963,0.12000,0.06803,1611509
1611514,1762295522.046217,ACCEL,5,0.02454,0.12000,0.06817,1611514
1611519,1762295522.046224,ACCEL,5,0.02454,0.12000,0.06817,1611519
1611524,1762295522.046237,ACCEL,5,0.02454,0.12000,0.06817,1611524
1611529,1762295522.046244,ACCEL,5,0.02454,0.12000,0.06817,1611529
1611534,1762295522.046251,ACCEL,5,0.02454,0.12000,0.06817,1611534
