time_ms,time_ts,v4,v5,g4,g5
1696186,1762292197.936982,2.502446,2.609958,0.001223,0.054979
1696186,1762292197.937036,2.503406,2.610278,0.001703,0.055139
1696186,1762292197.937050,2.503406,2.612198,0.001703,0.056099
1696186,1762292197.937060,2.502766,2.608678,0.001383,0.054339
1696186,1762292197.937143,2.502766,2.617957,0.001383,0.058979
1696186,1762292197.937155,2.503086,2.613798,0.001543,0.056899
1696186,1762292197.937165,2.503086,2.609638,0.001543,0.054819
1696186,1762292197.937174,2.503086,2.616038,0.001543,0.058019
1696186,1762292197.937182,2.501486,2.624357,0.000743,0.062179
1696189,1762292197.940268,2.503406,2.616678,0.001703,0.058339
1696202,1762292197.952529,2.501166,2.625957,0.000583,0.062978
1696202,1762292197.952577,2.502446,2.614758,0.001223,0.057379
1696202,1762292197.952592,2.503406,2.624677,0.001703,0.062338
1696202,1762292197.952602,2.502126,2.626597,0.001063,0.063298
1696202,1762292197.952610,2.502766,2.626917,0.001383,0.063458
1696202,1762292197.952619,2.501486,2.627237,0.000743,0.063618
1696202,1762292197.952627,2.502446,2.627557,0.001223,0.063778
1696202,1762292197.952636,2.501806,2.629157,0.000903,0.064578
1696202,1762292197.952645,2.501486,2.633636,0.000743,0.066818
1696202,1762292197.952652,2.501806,2.634596,0.000903,0.067298
1696218,1762292197.968530,2.501806,2.633636,0.000903,0.066818
1696219,1762292197.970283,2.501806,2.635556,0.000903,0.067778
1696219,1762292197.970319,2.501806,2.631716,0.000903,0.065858
1696219,1762292197.970375,2.501806,2.634916,0.000903,0.067458
1696220,1762292197.970396,2.501486,2.640996,0.000743,0.070498
1696220,1762292197.970403,2.501486,2.641956,0.000743,0.070978
1696220,1762292197.970416,2.501806,2.641636,0.000903,0.070818
1696220,1762292197.971029,2.502126,2.648035,0.001063,0.074018
1696223,1762292197.974329,2.501166,2.648995,0.000583,0.074498
1696224,1762292197.974892,2.501486,2.654755,0.000743,0.077377
1696235,1762292197.985996,2.500846,2.659234,0.000423,0.079617
1696235,1762292197.986035,2.500846,2.656035,0.000423,0.078017
