time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1590879,1762292092.287946,ACCEL,0,0.00000,0.12000,0.06749,1590879
1590884,1762292092.391868,ACCEL,0,0.00000,0.12000,0.06749,1590884
1590889,1762292092.391890,ACCEL,1,0.00491,0.12000,0.06763,1590889
1590894,1762292092.391902,ACCEL,1,0.00491,0.12000,0.06763,1590894
1590899,1762292092.391912,ACCEL,1,0.00491,0.12000,0.06763,1590899
1590904,1762292092.391922,ACCEL,1,0.00491,0.12000,0.06763,1590904
1590909,1762292092.391931,ACCEL,1,0.00491,0.12000,0.06763,1590909
1590914,1762292092.391939,ACCEL,1,0.00491,0.12000,0.06763,1590914
1590919,1762292092.391948,ACCEL,1,0.00491,0.12000,0.06763,1590919
1590924,1762292092.391956,ACCEL,1,0.00491,0.12000,0.06763,1590924
1590929,1762292092.391965,ACCEL,2,0.00982,0.12000,0.06776,1590929
1590934,1762292092.391973,ACCEL,2,0.00982,0.12000,0.06776,1590934
1590939,1762292092.391982,ACCEL,2,0.00982,0.12000,0.06776,1590939
1590944,1762292092.391990,ACCEL,2,0.00982,0.12000,0.06776,1590944
1590949,1762292092.391998,ACCEL,2,0.00982,0.12000,0.06776,1590949
1590954,1762292092.392006,ACCEL,2,0.00982,0.12000,0.06776,1590954
1590959,1762292092.392014,ACCEL,2,0.00982,0.12000,0.06776,1590959
1590964,1762292092.392023,ACCEL,2,0.00982,0.12000,0.06776,1590964
1590969,1762292092.392031,ACCEL,3,0.01473,0.12000,0.06790,1590969
1590974,1762292092.392040,ACCEL,3,0.01473,0.12000,0.06790,1590974
1590979,1762292092.392048,ACCEL,3,0.01473,0.12000,0.06790,1590979
1590984,1762292092.392056,ACCEL,3,0.01473,0.12000,0.06790,1590984
1590989,1762292092.392067,ACCEL,3,0.01473,0.12000,0.06790,1590989
1590994,1762292092.392075,ACCEL,3,0.01473,0.12000,0.06790,1590994
1590999,1762292092.392083,ACCEL,3,0.01473,0.12000,0.06790,1590999
1591004,1762292092.392091,ACCEL,3,0.01473,0.12000,0.06790,1591004
1591009,1762292092.392100,ACCEL,4,0.01963,0.12000,0.06803,1591009
1591014,1762292092.392108,ACCEL,4,0.01963,0.12000,0.06803,1591014
1591019,1762292092.392115,ACCEL,4,0.01963,0.12000,0.06803,1591019
1591024,1762292092.392123,ACCEL,4,0.01963,0.12000,0.06803,1591024
1591029,1762292092.392130,ACCEL,4,0.01963,0.12000,0.06803,1591029
1591034,1762292092.392137,ACCEL,4,0.01963,0.12000,0.06803,1591034
1591039,1762292092.392144,ACCEL,4,0.01963,0.12000,0.06803,1591039
1591044,1762292092.392153,ACCEL,4,0.01963,0.12000,0.06803,1591044
1591049,1762292092.392161,ACCEL,4,0.01963,0.12000,0.06803,1591049
1591054,1762292092.392169,ACCEL,5,0.02454,0.12000,0.06817,1591054
1591059,1762292092.392176,ACCEL,5,0.02454,0.12000,0.06817,1591059
1591064,1762292092.392183,ACCEL,5,0.02454,0.12000,0.06817,1591064
1591069,1762292092.392190,ACCEL,5,0.02454,0.12000,0.06817,1591069
1591074,1762292092.392198,ACCEL,5,0.02454,0.12000,0.06817,1591074
1591079,1762292092.392205,ACCEL,5,0.02454,0.12000,0.06817,1591079
1591084,1762292092.392213,ACCEL,5,0.02454,0.12000,0.06817,1591084
1591089,1762292092.392220,ACCEL,5,0.02454,0.12000,0.06817,1591089
1591094,1762292092.392228,ACCEL,6,0.02945,0.12000,0.06831,1591094
1591099,1762292092.392235,ACCEL,6,0.02945,0.12000,0.06831,1591099
1591104,1762292092.392241,ACCEL,6,0.02945,0.12000,0.06831,1591104
1591109,1762292092.392249,ACCEL,6,0.02945,0.12000,0.06831,1591109
1591114,1762292092.392256,ACCEL,6,0.02945,0.12000,0.06831,1591114
1591244,1762292092.665086,ACCEL,9,0.04418,0.12000,0.06872,1591244
1591249,1762292092.665108,ACCEL,9,0.04418,0.12000,0.06872,1591249
1591254,1762292092.668184,ACCEL,9,0.04418,0.12000,0.06872,1591254
